teacher_id,school_id,teacher_name,persona,teacher_availability_mask,preferred_time_window,consecutive_period_preference,subjects_taught,class_arm_eligibility,room_strictness,years_of_experience,employment_type,cds_blocked_day,min_rest_periods_required
TCH-00368,SCH-027,Adaeze Balogun,veteran_staff_room_boss,11111,08:30-10:30,1,Biology|Chemistry,senior_only,absolute_priority,16,full_time_senior_staff,,2
TCH-00369,SCH-028,Kunle Okoro,overworked_generalist,11111,scattered,4,CRS|PHE,any,very_low,6,full_time_underpaid,,
TCH-00370,SCH-028,Chinedu Adebayo,hustling_subject_specialist,01010,08:00-11:00,2,Further Mathematics,senior_only,high,4,part_time_multi_school,,
TCH-00371,SCH-028,Musa Mohammed,nysc_corper,10111,13:00-15:00,1,Civic Education|Basic Science,junior_only,low,0,nysc_temporary,Tuesday,
TCH-00372,SCH-028,Yusuf Okafor,overworked_generalist,11111,scattered,4,CRS|PHE,any,very_low,6,full_time_underpaid,,
TCH-00373,SCH-028,Bashir Mohammed,veteran_staff_room_boss,11111,08:30-10:30,1,Physics|Chemistry,senior_only,absolute_priority,18,full_time_senior_staff,,2
TCH-00374,SCH-028,Bashir Abubakar,veteran_staff_room_boss,11111,08:30-10:30,2,Further Mathematics|Biology,senior_only,absolute_priority,29,full_time_senior_staff,,2
TCH-00375,SCH-028,Emeka Abubakar,nysc_corper,10111,13:00-15:00,1,Basic Science,junior_only,low,0,nysc_temporary,Tuesday,
TCH-00376,SCH-028,Ifeoma Garba,hustling_subject_specialist,10110,08:00-11:00,2,Physics,senior_only,high,7,part_time_multi_school,,
TCH-00377,SCH-028,Chinedu Okafor,hustling_subject_specialist,01110,08:00-11:00,3,Further Mathematics|Physics,senior_only,high,11,part_time_multi_school,,
TCH-00378,SCH-028,Yusuf Okafor,overworked_generalist,11111,scattered,5,CRS|PHE,any,very_low,2,full_time_underpaid,,
TCH-00379,SCH-028,Yusuf Chukwu,overworked_generalist,11111,scattered,3,PHE|Basic Technology,any,very_low,7,full_time_underpaid,,
TCH-00380,SCH-029,Bashir Okafor,overworked_generalist,11111,scattered,5,PHE|CRS,any,very_low,7,full_time_underpaid,,
TCH-00381,SCH-029,Bashir Adebayo,overworked_generalist,11111,scattered,5,Basic Technology|CRS|PHE,any,very_low,1,full_time_underpaid,,
TCH-00382,SCH-029,Obinna Nwosu,overworked_generalist,11111,scattered,5,Basic Technology|CRS,any,very_low,4,full_time_underpaid,,
TCH-00383,SCH-029,Musa Adebayo,nysc_corper,10111,13:00-15:00,1,Civic Education,junior_only,low,0,nysc_temporary,Tuesday,
TCH-00384,SCH-029,Musa Nwosu,overworked_generalist,11111,scattered,4,CRS|PHE,any,very_low,6,full_time_underpaid,,
TCH-00385,SCH-029,Musa Mohammed,overworked_generalist,11111,scattered,3,PHE|Basic Technology,any,very_low,5,full_time_underpaid,,
TCH-00386,SCH-029,Aisha Eze,hustling_subject_specialist,11010,08:00-11:00,2,Economics|Physics,senior_only,high,7,part_time_multi_school,,
TCH-00387,SCH-029,Fatima Mohammed,hustling_subject_specialist,01110,08:00-11:00,2,Economics,senior_only,high,11,part_time_multi_school,,
TCH-00388,SCH-029,Chinedu Eze,overworked_generalist,11111,scattered,5,Basic Technology|CRS,any,very_low,4,full_time_underpaid,,
TCH-00389,SCH-029,Musa Okafor,veteran_staff_room_boss,11111,08:30-10:30,1,Biology|Further Mathematics,senior_only,absolute_priority,29,full_time_senior_staff,,2
TCH-00390,SCH-029,Ifeoma Okafor,veteran_staff_room_boss,11111,08:30-10:30,1,Physics,senior_only,absolute_priority,21,full_time_senior_staff,,2
TCH-00391,SCH-029,Adaeze Mohammed,overworked_generalist,11111,scattered,3,Basic Technology|PHE,any,very_low,7,full_time_underpaid,,
TCH-00392,SCH-030,Tunde Chukwu,hustling_subject_specialist,11010,08:00-11:00,3,Economics,senior_only,high,8,part_time_multi_school,,
TCH-00393,SCH-030,Ifeoma Okoro,overworked_generalist,11111,scattered,4,CRS|Basic Technology|PHE,any,very_low,8,full_time_underpaid,,
TCH-00394,SCH-030,Fatima Adebayo,overworked_generalist,11111,scattered,3,CRS|PHE,any,very_low,3,full_time_underpaid,,
TCH-00395,SCH-030,Adaeze Okafor,hustling_subject_specialist,01110,08:00-11:00,2,Physics|Economics,senior_only,high,12,part_time_multi_school,,
TCH-00396,SCH-030,Chiamaka Chukwu,nysc_corper,11101,13:00-15:00,1,Civic Education|Basic Science,junior_only,low,0,nysc_temporary,Thursday,
TCH-00397,SCH-030,Musa Mohammed,overworked_generalist,11111,scattered,5,PHE|Basic Technology,any,very_low,5,full_time_underpaid,,
TCH-00398,SCH-030,Obinna Nwosu,hustling_subject_specialist,11100,08:00-11:00,2,Economics|Physics,senior_only,high,6,part_time_multi_school,,
TCH-00399,SCH-030,Oluwaseun Adeyemi,veteran_staff_room_boss,11111,08:30-10:30,1,Chemistry,senior_only,absolute_priority,18,full_time_senior_staff,,2
TCH-00400,SCH-030,Fatima Okafor,overworked_generalist,11111,scattered,3,Basic Technology|CRS,any,very_low,1,full_time_underpaid,,
TCH-00401,SCH-030,Hauwa Abubakar,nysc_corper,11101,13:00-15:00,1,Civic Education,junior_only,low,0,nysc_temporary,Thursday,
TCH-00402,SCH-030,Hauwa Okoro,hustling_subject_specialist,00110,08:00-11:00,3,Economics,senior_only,high,11,part_time_multi_school,,
TCH-00403,SCH-031,Tunde Suleiman,veteran_staff_room_boss,11111,08:30-10:30,2,Chemistry|Physics,senior_only,absolute_priority,20,full_time_senior_staff,,2
TCH-00404,SCH-031,Emeka Adebayo,nysc_corper,10111,13:00-15:00,1,Basic Science|Civic Education,junior_only,low,0,nysc_temporary,Tuesday,
TCH-00405,SCH-031,Emeka Suleiman,overworked_generalist,11111,scattered,5,Basic Technology|CRS,any,very_low,3,full_time_underpaid,,
TCH-00406,SCH-031,Chinedu Eze,nysc_corper,10111,13:00-15:00,1,Civic Education,junior_only,low,0,nysc_temporary,Tuesday,
TCH-00407,SCH-031,Emeka Nwosu,hustling_subject_specialist,00110,08:00-11:00,3,Further Mathematics,senior_only,high,10,part_time_multi_school,,
TCH-00408,SCH-031,Chiamaka Okafor,nysc_corper,11110,13:00-15:00,1,Civic Education|Basic Science,junior_only,low,0,nysc_temporary,Friday,
TCH-00409,SCH-031,Kunle Chukwu,nysc_corper,11011,13:00-15:00,1,Basic Science,junior_only,low,0,nysc_temporary,Wednesday,
TCH-00410,SCH-031,Adaeze Suleiman,hustling_subject_specialist,11010,08:00-11:00,3,Economics,senior_only,high,8,part_time_multi_school,,
TCH-00411,SCH-031,Amaka Abubakar,nysc_corper,10111,13:00-15:00,1,Civic Education|Basic Science,junior_only,low,0,nysc_temporary,Tuesday,
TCH-00412,SCH-031,Blessing Mohammed,hustling_subject_specialist,10110,08:00-11:00,2,Further Mathematics|Economics,senior_only,high,12,part_time_multi_school,,
TCH-00413,SCH-032,Emeka Adeyemi,nysc_corper,11101,13:00-15:00,1,Basic Science|Civic Education,junior_only,low,0,nysc_temporary,Thursday,
TCH-00414,SCH-032,Ngozi Eze,overworked_generalist,11111,scattered,4,Basic Technology|CRS|PHE,any,very_low,8,full_time_underpaid,,
TCH-00415,SCH-032,Amaka Balogun,veteran_staff_room_boss,11111,08:30-10:30,2,Biology,senior_only,absolute_priority,16,full_time_senior_staff,,2
TCH-00416,SCH-032,Kunle Suleiman,overworked_generalist,11111,scattered,4,CRS|Basic Technology|PHE,any,very_low,4,full_time_underpaid,,
TCH-00417,SCH-032,Ngozi Okafor,overworked_generalist,11111,scattered,4,Basic Technology|CRS,any,very_low,8,full_time_underpaid,,
TCH-00418,SCH-032,Hauwa Nwosu,hustling_subject_specialist,11100,08:00-11:00,3,Further Mathematics,senior_only,high,4,part_time_multi_school,,
TCH-00419,SCH-032,Bashir Adebayo,overworked_generalist,11111,scattered,5,PHE|CRS,any,very_low,1,full_time_underpaid,,
TCH-00420,SCH-032,Amaka Eze,nysc_corper,11011,13:00-15:00,1,Basic Science,junior_only,low,0,nysc_temporary,Wednesday,
TCH-00421,SCH-032,Musa Garba,nysc_corper,11101,13:00-15:00,1,Civic Education,junior_only,low,0,nysc_temporary,Thursday,
TCH-00422,SCH-032,Oluwaseun Okafor,overworked_generalist,11111,scattered,4,PHE|Basic Technology|CRS,any,very_low,7,full_time_underpaid,,
TCH-00423,SCH-032,Bashir Nwosu,nysc_corper,11011,13:00-15:00,1,Basic Science,junior_only,low,0,nysc_temporary,Wednesday,
TCH-00424,SCH-032,Ngozi Mohammed,overworked_generalist,11111,scattered,3,PHE|CRS,any,very_low,4,full_time_underpaid,,
TCH-00425,SCH-032,Chinedu Abubakar,hustling_subject_specialist,11100,08:00-11:00,3,Further Mathematics|Physics,senior_only,high,11,part_time_multi_school,,
TCH-00426,SCH-033,Fatima Adebayo,veteran_staff_room_boss,11111,08:30-10:30,2,Biology|Physics,senior_only,absolute_priority,19,full_time_senior_staff,,2
TCH-00427,SCH-033,Oluwaseun Chukwu,hustling_subject_specialist,01100,08:00-11:00,2,Economics,senior_only,high,11,part_time_multi_school,,
TCH-00428,SCH-033,Kunle Balogun,nysc_corper,11011,13:00-15:00,1,Civic Education,junior_only,low,0,nysc_temporary,Wednesday,
TCH-00429,SCH-033,Bashir Mohammed,hustling_subject_specialist,11010,08:00-11:00,2,Economics|Further Mathematics,senior_only,high,4,part_time_multi_school,,
TCH-00430,SCH-033,Oluwaseun Okafor,veteran_staff_room_boss,11111,08:30-10:30,2,Chemistry|Further Mathematics,senior_only,absolute_priority,16,full_time_senior_staff,,2
TCH-00431,SCH-033,Yusuf Okoro,hustling_subject_specialist,10100,08:00-11:00,3,Physics,senior_only,high,4,part_time_multi_school,,
TCH-00432,SCH-033,Obinna Okafor,nysc_corper,11101,13:00-15:00,1,Basic Science|Civic Education,junior_only,low,0,nysc_temporary,Thursday,
TCH-00433,SCH-033,Tunde Okafor,hustling_subject_specialist,10010,08:00-11:00,2,Economics|Physics,senior_only,high,11,part_time_multi_school,,
TCH-00434,SCH-033,Tunde Adeyemi,overworked_generalist,11111,scattered,3,Basic Technology|PHE|CRS,any,very_low,5,full_time_underpaid,,
TCH-00435,SCH-033,Ifeoma Suleiman,nysc_corper,11110,13:00-15:00,1,Civic Education|Basic Science,junior_only,low,0,nysc_temporary,Friday,
TCH-00436,SCH-033,Tunde Garba,veteran_staff_room_boss,11111,08:30-10:30,1,Physics|Biology,senior_only,absolute_priority,17,full_time_senior_staff,,2
TCH-00437,SCH-033,Tunde Garba,overworked_generalist,11111,scattered,4,PHE|Basic Technology|CRS,any,very_low,2,full_time_underpaid,,
TCH-00438,SCH-033,Yusuf Okoro,veteran_staff_room_boss,11111,08:30-10:30,2,Further Mathematics,senior_only,absolute_priority,27,full_time_senior_staff,,2
TCH-00439,SCH-033,Bashir Suleiman,overworked_generalist,11111,scattered,4,Basic Technology|CRS|PHE,any,very_low,3,full_time_underpaid,,
TCH-00440,SCH-034,Aisha Mohammed,hustling_subject_specialist,10110,08:00-11:00,2,Physics|Further Mathematics,senior_only,high,7,part_time_multi_school,,
TCH-00441,SCH-034,Musa Mohammed,veteran_staff_room_boss,11111,08:30-10:30,1,Chemistry|Physics,senior_only,absolute_priority,16,full_time_senior_staff,,2
TCH-00442,SCH-034,Yusuf Nwosu,overworked_generalist,11111,scattered,4,PHE|CRS|Basic Technology,any,very_low,6,full_time_underpaid,,
TCH-00443,SCH-034,Oluwaseun Adebayo,overworked_generalist,11111,scattered,4,PHE|Basic Technology,any,very_low,8,full_time_underpaid,,
TCH-00444,SCH-034,Bashir Suleiman,nysc_corper,10111,13:00-15:00,1,Basic Science|Civic Education,junior_only,low,0,nysc_temporary,Tuesday,
TCH-00445,SCH-034,Yusuf Okoro,overworked_generalist,11111,scattered,5,PHE|CRS,any,very_low,1,full_time_underpaid,,
TCH-00446,SCH-034,Chinedu Eze,overworked_generalist,11111,scattered,3,PHE|Basic Technology,any,very_low,5,full_time_underpaid,,
TCH-00447,SCH-034,Hauwa Garba,overworked_generalist,11111,scattered,5,PHE|CRS|Basic Technology,any,very_low,3,full_time_underpaid,,
TCH-00448,SCH-034,Aisha Okafor,overworked_generalist,11111,scattered,5,PHE|CRS|Basic Technology,any,very_low,6,full_time_underpaid,,
TCH-00449,SCH-034,Fatima Suleiman,overworked_generalist,11111,scattered,4,PHE|CRS,any,very_low,1,full_time_underpaid,,
TCH-00450,SCH-034,Obinna Chukwu,overworked_generalist,11111,scattered,4,Basic Technology|PHE,any,very_low,6,full_time_underpaid,,
TCH-00451,SCH-034,Aisha Nwosu,overworked_generalist,11111,scattered,5,Basic Technology|PHE|CRS,any,very_low,1,full_time_underpaid,,
TCH-00452,SCH-034,Kunle Okoro,hustling_subject_specialist,10100,08:00-11:00,2,Further Mathematics|Economics,senior_only,high,8,part_time_multi_school,,
TCH-00453,SCH-034,Obinna Chukwu,veteran_staff_room_boss,11111,08:30-10:30,1,Physics|Biology,senior_only,absolute_priority,18,full_time_senior_staff,,2
TCH-00454,SCH-034,Aisha Adebayo,overworked_generalist,11111,scattered,3,PHE|CRS|Basic Technology,any,very_low,3,full_time_underpaid,,
TCH-00455,SCH-034,Ngozi Garba,overworked_generalist,11111,scattered,4,CRS|Basic Technology,any,very_low,1,full_time_underpaid,,
TCH-00456,SCH-035,Blessing Adeyemi,veteran_staff_room_boss,11111,08:30-10:30,1,Chemistry,senior_only,absolute_priority,18,full_time_senior_staff,,2
TCH-00457,SCH-035,Emeka Balogun,veteran_staff_room_boss,11111,08:30-10:30,1,Chemistry,senior_only,absolute_priority,16,full_time_senior_staff,,2
TCH-00458,SCH-035,Tunde Chukwu,overworked_generalist,11111,scattered,4,PHE|Basic Technology|CRS,any,very_low,4,full_time_underpaid,,
TCH-00459,SCH-035,Oluwaseun Abubakar,nysc_corper,11101,13:00-15:00,1,Basic Science,junior_only,low,0,nysc_temporary,Thursday,
TCH-00460,SCH-035,Musa Garba,hustling_subject_specialist,10100,08:00-11:00,2,Physics|Economics,senior_only,high,6,part_time_multi_school,,
TCH-00461,SCH-035,Kunle Balogun,hustling_subject_specialist,10010,08:00-11:00,2,Economics|Physics,senior_only,high,6,part_time_multi_school,,
TCH-00462,SCH-035,Ngozi Abubakar,overworked_generalist,11111,scattered,3,CRS|PHE,any,very_low,8,full_time_underpaid,,
TCH-00463,SCH-035,Fatima Nwosu,overworked_generalist,11111,scattered,4,PHE|Basic Technology|CRS,any,very_low,2,full_time_underpaid,,
TCH-00464,SCH-035,Chinedu Chukwu,overworked_generalist,11111,scattered,3,Basic Technology|CRS|PHE,any,very_low,7,full_time_underpaid,,
TCH-00465,SCH-035,Bashir Okoro,nysc_corper,11011,13:00-15:00,1,Basic Science|Civic Education,junior_only,low,0,nysc_temporary,Wednesday,
TCH-00466,SCH-035,Oluwaseun Okoro,overworked_generalist,11111,scattered,4,Basic Technology|CRS|PHE,any,very_low,7,full_time_underpaid,,
TCH-00467,SCH-035,Chiamaka Chukwu,overworked_generalist,11111,scattered,3,PHE|Basic Technology|CRS,any,very_low,4,full_time_underpaid,,
TCH-00468,SCH-035,Oluwaseun Adeyemi,overworked_generalist,11111,scattered,4,Basic Technology|PHE,any,very_low,4,full_time_underpaid,,
TCH-00469,SCH-035,Obinna Mohammed,nysc_corper,01111,13:00-15:00,1,Civic Education|Basic Science,junior_only,low,0,nysc_temporary,Monday,
TCH-00470,SCH-035,Fatima Suleiman,hustling_subject_specialist,10100,08:00-11:00,3,Economics|Further Mathematics,senior_only,high,4,part_time_multi_school,,
TCH-00471,SCH-035,Aisha Suleiman,veteran_staff_room_boss,11111,08:30-10:30,2,Biology|Chemistry,senior_only,absolute_priority,30,full_time_senior_staff,,2
TCH-00472,SCH-036,Chiamaka Eze,overworked_generalist,11111,scattered,3,Basic Technology|PHE|CRS,any,very_low,2,full_time_underpaid,,
TCH-00473,SCH-036,Musa Adebayo,nysc_corper,01111,13:00-15:00,1,Basic Science,junior_only,low,0,nysc_temporary,Monday,
TCH-00474,SCH-036,Ifeoma Okoro,overworked_generalist,11111,scattered,5,CRS|PHE,any,very_low,2,full_time_underpaid,,
TCH-00475,SCH-036,Yusuf Suleiman,veteran_staff_room_boss,11111,08:30-10:30,1,Chemistry,senior_only,absolute_priority,17,full_time_senior_staff,,2
TCH-00476,SCH-036,Tunde Adeyemi,overworked_generalist,11111,scattered,5,CRS|Basic Technology,any,very_low,8,full_time_underpaid,,
TCH-00477,SCH-036,Ngozi Nwosu,overworked_generalist,11111,scattered,3,PHE|Basic Technology|CRS,any,very_low,4,full_time_underpaid,,
TCH-00478,SCH-036,Chiamaka Chukwu,nysc_corper,11011,13:00-15:00,1,Basic Science|Civic Education,junior_only,low,0,nysc_temporary,Wednesday,
TCH-00479,SCH-036,Amaka Eze,overworked_generalist,11111,scattered,4,PHE|Basic Technology,any,very_low,5,full_time_underpaid,,
TCH-00480,SCH-036,Tunde Eze,hustling_subject_specialist,01110,08:00-11:00,2,Economics,senior_only,high,10,part_time_multi_school,,
TCH-00481,SCH-036,Chinedu Chukwu,overworked_generalist,11111,scattered,4,CRS|PHE,any,very_low,7,full_time_underpaid,,
TCH-00482,SCH-036,Bashir Chukwu,veteran_staff_room_boss,11111,08:30-10:30,1,Further Mathematics|Chemistry,senior_only,absolute_priority,22,full_time_senior_staff,,2
TCH-00483,SCH-036,Chiamaka Adebayo,hustling_subject_specialist,11000,08:00-11:00,3,Further Mathematics,senior_only,high,7,part_time_multi_school,,
TCH-00484,SCH-036,Kunle Okoro,hustling_subject_specialist,10010,08:00-11:00,2,Physics|Further Mathematics,senior_only,high,12,part_time_multi_school,,
TCH-00485,SCH-036,Fatima Garba,hustling_subject_specialist,11010,08:00-11:00,3,Further Mathematics,senior_only,high,7,part_time_multi_school,,
TCH-00486,SCH-036,Ngozi Chukwu,overworked_generalist,11111,scattered,5,PHE|Basic Technology|CRS,any,very_low,8,full_time_underpaid,,
TCH-00487,SCH-037,Tunde Mohammed,hustling_subject_specialist,00110,08:00-11:00,2,Further Mathematics,senior_only,high,8,part_time_multi_school,,
TCH-00488,SCH-037,Bashir Nwosu,hustling_subject_specialist,11100,08:00-11:00,2,Physics|Further Mathematics,senior_only,high,6,part_time_multi_school,,
TCH-00489,SCH-037,Aisha Chukwu,nysc_corper,10111,13:00-15:00,1,Civic Education|Basic Science,junior_only,low,0,nysc_temporary,Tuesday,
TCH-00490,SCH-037,Bashir Nwosu,overworked_generalist,11111,scattered,5,CRS|PHE,any,very_low,4,full_time_underpaid,,
TCH-00491,SCH-037,Bashir Mohammed,overworked_generalist,11111,scattered,4,Basic Technology|CRS,any,very_low,2,full_time_underpaid,,
TCH-00492,SCH-037,Ifeoma Garba,veteran_staff_room_boss,11111,08:30-10:30,2,Chemistry|Biology,senior_only,absolute_priority,23,full_time_senior_staff,,2
TCH-00493,SCH-037,Ifeoma Nwosu,overworked_generalist,11111,scattered,4,Basic Technology|PHE,any,very_low,4,full_time_underpaid,,
TCH-00494,SCH-037,Yusuf Mohammed,overworked_generalist,11111,scattered,4,PHE|Basic Technology,any,very_low,6,full_time_underpaid,,
TCH-00495,SCH-037,Emeka Adeyemi,overworked_generalist,11111,scattered,3,CRS|PHE|Basic Technology,any,very_low,5,full_time_underpaid,,
TCH-00496,SCH-037,Obinna Nwosu,nysc_corper,11011,13:00-15:00,1,Civic Education,junior_only,low,0,nysc_temporary,Wednesday,
TCH-00497,SCH-037,Amaka Eze,hustling_subject_specialist,01100,08:00-11:00,2,Physics|Further Mathematics,senior_only,high,5,part_time_multi_school,,
TCH-00498,SCH-037,Ngozi Eze,overworked_generalist,11111,scattered,5,PHE|CRS,any,very_low,5,full_time_underpaid,,
TCH-00499,SCH-037,Blessing Nwosu,overworked_generalist,11111,scattered,3,CRS|Basic Technology,any,very_low,2,full_time_underpaid,,
TCH-00500,SCH-037,Fatima Okoro,nysc_corper,10111,13:00-15:00,1,Basic Science|Civic Education,junior_only,low,0,nysc_temporary,Tuesday,
TCH-00501,SCH-037,Chiamaka Suleiman,hustling_subject_specialist,01100,08:00-11:00,3,Physics|Economics,senior_only,high,11,part_time_multi_school,,
TCH-00502,SCH-038,Blessing Garba,nysc_corper,01111,13:00-15:00,1,Basic Science,junior_only,low,0,nysc_temporary,Monday,
TCH-00503,SCH-038,Musa Suleiman,veteran_staff_room_boss,11111,08:30-10:30,1,Further Mathematics|Physics,senior_only,absolute_priority,20,full_time_senior_staff,,2
TCH-00504,SCH-038,Obinna Suleiman,nysc_corper,10111,13:00-15:00,1,Basic Science,junior_only,low,0,nysc_temporary,Tuesday,
TCH-00505,SCH-038,Amaka Abubakar,nysc_corper,10111,13:00-15:00,1,Civic Education,junior_only,low,0,nysc_temporary,Tuesday,
TCH-00506,SCH-038,Hauwa Okafor,veteran_staff_room_boss,11111,08:30-10:30,2,Chemistry|Physics,senior_only,absolute_priority,29,full_time_senior_staff,,2
TCH-00507,SCH-038,Amaka Mohammed,overworked_generalist,11111,scattered,5,CRS|Basic Technology|PHE,any,very_low,5,full_time_underpaid,,
TCH-00508,SCH-038,Obinna Chukwu,overworked_generalist,11111,scattered,3,PHE|CRS|Basic Technology,any,very_low,2,full_time_underpaid,,
TCH-00509,SCH-038,Tunde Nwosu,veteran_staff_room_boss,11111,08:30-10:30,2,Biology,senior_only,absolute_priority,17,full_time_senior_staff,,2
TCH-00510,SCH-038,Bashir Mohammed,veteran_staff_room_boss,11111,08:30-10:30,1,Biology,senior_only,absolute_priority,17,full_time_senior_staff,,2
TCH-00511,SCH-038,Hauwa Abubakar,nysc_corper,11110,13:00-15:00,1,Civic Education,junior_only,low,0,nysc_temporary,Friday,
TCH-00512,SCH-038,Musa Adebayo,nysc_corper,01111,13:00-15:00,1,Civic Education|Basic Science,junior_only,low,0,nysc_temporary,Monday,
TCH-00513,SCH-038,Tunde Adebayo,hustling_subject_specialist,11010,08:00-11:00,2,Further Mathematics,senior_only,high,6,part_time_multi_school,,
TCH-00514,SCH-038,Tunde Balogun,veteran_staff_room_boss,11111,08:30-10:30,2,Biology|Physics,senior_only,absolute_priority,22,full_time_senior_staff,,2
TCH-00515,SCH-039,Tunde Chukwu,overworked_generalist,11111,scattered,3,PHE|Basic Technology|CRS,any,very_low,6,full_time_underpaid,,
TCH-00516,SCH-039,Hauwa Chukwu,hustling_subject_specialist,10110,08:00-11:00,2,Further Mathematics|Physics,senior_only,high,8,part_time_multi_school,,
TCH-00517,SCH-039,Obinna Okafor,overworked_generalist,11111,scattered,5,Basic Technology|PHE,any,very_low,3,full_time_underpaid,,
TCH-00518,SCH-039,Chinedu Okoro,overworked_generalist,11111,scattered,3,Basic Technology|CRS|PHE,any,very_low,4,full_time_underpaid,,
TCH-00519,SCH-039,Yusuf Adebayo,overworked_generalist,11111,scattered,3,PHE|CRS,any,very_low,7,full_time_underpaid,,
TCH-00520,SCH-039,Emeka Nwosu,overworked_generalist,11111,scattered,3,PHE|CRS,any,very_low,1,full_time_underpaid,,
TCH-00521,SCH-039,Kunle Okoro,nysc_corper,11110,13:00-15:00,1,Civic Education|Basic Science,junior_only,low,0,nysc_temporary,Friday,
TCH-00522,SCH-039,Tunde Balogun,overworked_generalist,11111,scattered,5,PHE|CRS|Basic Technology,any,very_low,8,full_time_underpaid,,
TCH-00523,SCH-039,Blessing Eze,overworked_generalist,11111,scattered,5,CRS|Basic Technology|PHE,any,very_low,7,full_time_underpaid,,
TCH-00524,SCH-039,Amaka Okoro,nysc_corper,11101,13:00-15:00,1,Civic Education,junior_only,low,0,nysc_temporary,Thursday,
TCH-00525,SCH-039,Chiamaka Adeyemi,hustling_subject_specialist,01110,08:00-11:00,3,Economics,senior_only,high,11,part_time_multi_school,,
TCH-00526,SCH-039,Hauwa Eze,overworked_generalist,11111,scattered,4,CRS|PHE,any,very_low,5,full_time_underpaid,,
TCH-00527,SCH-039,Oluwaseun Abubakar,hustling_subject_specialist,10100,08:00-11:00,2,Further Mathematics,senior_only,high,7,part_time_multi_school,,
TCH-00528,SCH-040,Kunle Mohammed,veteran_staff_room_boss,11111,08:30-10:30,2,Chemistry|Physics,senior_only,absolute_priority,16,full_time_senior_staff,,2
TCH-00529,SCH-040,Kunle Eze,nysc_corper,11101,13:00-15:00,1,Basic Science|Civic Education,junior_only,low,0,nysc_temporary,Thursday,
TCH-00530,SCH-040,Amaka Adebayo,hustling_subject_specialist,10110,08:00-11:00,2,Further Mathematics,senior_only,high,6,part_time_multi_school,,
TCH-00531,SCH-040,Ngozi Suleiman,overworked_generalist,11111,scattered,3,PHE|CRS|Basic Technology,any,very_low,6,full_time_underpaid,,
TCH-00532,SCH-040,Obinna Okoro,overworked_generalist,11111,scattered,4,PHE|Basic Technology|CRS,any,very_low,1,full_time_underpaid,,
TCH-00533,SCH-040,Ifeoma Suleiman,nysc_corper,11110,13:00-15:00,1,Civic Education,junior_only,low,0,nysc_temporary,Friday,
TCH-00534,SCH-040,Bashir Balogun,overworked_generalist,11111,scattered,4,Basic Technology|CRS,any,very_low,7,full_time_underpaid,,
TCH-00535,SCH-040,Aisha Garba,overworked_generalist,11111,scattered,5,CRS|Basic Technology|PHE,any,very_low,3,full_time_underpaid,,
TCH-00536,SCH-040,Aisha Balogun,veteran_staff_room_boss,11111,08:30-10:30,2,Biology,senior_only,absolute_priority,19,full_time_senior_staff,,2
TCH-00537,SCH-040,Ngozi Balogun,hustling_subject_specialist,01010,08:00-11:00,3,Economics|Physics,senior_only,high,5,part_time_multi_school,,
TCH-00538,SCH-040,Tunde Adeyemi,overworked_generalist,11111,scattered,3,Basic Technology|PHE,any,very_low,1,full_time_underpaid,,
TCH-00539,SCH-040,Emeka Okafor,veteran_staff_room_boss,11111,08:30-10:30,1,Physics|Biology,senior_only,absolute_priority,21,full_time_senior_staff,,2
TCH-00540,SCH-040,Adaeze Adeyemi,hustling_subject_specialist,11100,08:00-11:00,2,Further Mathematics,senior_only,high,8,part_time_multi_school,,
TCH-00541,SCH-041,Bashir Garba,veteran_staff_room_boss,11111,08:30-10:30,1,Biology,senior_only,absolute_priority,19,full_time_senior_staff,,2
TCH-00542,SCH-041,Oluwaseun Okafor,overworked_generalist,11111,scattered,5,Basic Technology|CRS|PHE,any,very_low,5,full_time_underpaid,,
TCH-00543,SCH-041,Kunle Eze,hustling_subject_specialist,00110,08:00-11:00,3,Further Mathematics|Economics,senior_only,high,7,part_time_multi_school,,
TCH-00544,SCH-041,Adaeze Adeyemi,hustling_subject_specialist,00110,08:00-11:00,2,Economics|Further Mathematics,senior_only,high,10,part_time_multi_school,,
TCH-00545,SCH-041,Aisha Abubakar,hustling_subject_specialist,10010,08:00-11:00,3,Physics,senior_only,high,12,part_time_multi_school,,
TCH-00546,SCH-041,Obinna Nwosu,veteran_staff_room_boss,11111,08:30-10:30,1,Physics,senior_only,absolute_priority,17,full_time_senior_staff,,2
TCH-00547,SCH-041,Obinna Suleiman,nysc_corper,10111,13:00-15:00,1,Civic Education|Basic Science,junior_only,low,0,nysc_temporary,Tuesday,
TCH-00548,SCH-041,Obinna Mohammed,veteran_staff_room_boss,11111,08:30-10:30,1,Biology|Physics,senior_only,absolute_priority,28,full_time_senior_staff,,2
TCH-00549,SCH-041,Oluwaseun Garba,nysc_corper,11101,13:00-15:00,1,Basic Science|Civic Education,junior_only,low,0,nysc_temporary,Thursday,
TCH-00550,SCH-041,Oluwaseun Okafor,overworked_generalist,11111,scattered,3,PHE|CRS|Basic Technology,any,very_low,7,full_time_underpaid,,
TCH-00551,SCH-041,Emeka Okoro,overworked_generalist,11111,scattered,4,Basic Technology|CRS|PHE,any,very_low,4,full_time_underpaid,,
TCH-00552,SCH-041,Musa Okafor,veteran_staff_room_boss,11111,08:30-10:30,2,Biology,senior_only,absolute_priority,23,full_time_senior_staff,,2
